"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","0","Heroic Intervention","mar","Near Mint","English","","buy-new","","79","False","False","8.04"
"1","0","Hollowhenge Overlord","voc","Near Mint","English","","buy-new","","36","False","False","5.94"
"1","0","Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun","xln","Near Mint","English","","buy-new","","191","False","False","5.37"
"1","0","Avabruck Caretaker // Hollowhenge Huntmaster","vow","Near Mint","English","","buy-new","","187","False","False","4.65"
"1","0","Ulrich of the Krallenhorde // Ulrich, Uncontested Alpha","emn","Near Mint","English","","buy-new","","191","False","False","3.34"
"1","0","Rhythm of the Wild","rna","Near Mint","English","","buy-new","","201","False","False","3.22"
"1","0","Master of the Wild Hunt","a25","Near Mint","English","","buy-new","","181","False","False","1.53"
"1","0","Karplusan Forest","m3c","Near Mint","English","","buy-new","","351","False","False","0.81"
"1","0","Beast Within","mar","Near Mint","English","","buy-new","","75","False","False","0.55"
"1","0","Pyreheart Wolf","plst","Near Mint","English","","buy-new","","DKA-101","False","False","0.36"
"1","0","Rootbound Crag","tmc","Near Mint","English","","buy-new","","72","False","False","0.31"
"1","0","Cinder Glade","m3c","Near Mint","English","","buy-new","","329","False","False","0.20"
"1","0","Game Trail","who","Near Mint","English","","buy-new","","284","False","False","0.20"
"1","0","Hungry Ridgewolf","vow","Near Mint","English","","buy-new","","161","False","False","0.05"
"1","0","Realmwalker","ecc","Near Mint","English","","buy-second-copy (Dance of the Elements)","","114","False","False","1.66"
"1","0","Swiftfoot Boots","plst","Near Mint","English","","buy-second-copy (Full Deployment)","","A25-234","False","False","0.96"
"1","0","Garruk's Uprising","m21","Near Mint","English","","buy-second-copy (Dance of the Elements)","","308","False","False","0.45"
