"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Tovolar, Dire Overlord // Tovolar, the Midnight Scourge","","Near Mint","English","","","","","False","False",""
"1","1","Afflicted Deserter // Werewolf Ransacker","","Near Mint","English","","","","","False","False",""
"1","1","Ascendant Packleader","","Near Mint","English","","","","","False","False",""
"1","1","Breakneck Rider // Neck Breaker","","Near Mint","English","","","","","False","False",""
"1","1","Child of the Pack // Savage Packmate","","Near Mint","English","","","","","False","False",""
"1","1","Cult of the Waxing Moon","","Near Mint","English","","","","","False","False",""
"1","1","Daybreak Ranger // Nightfall Predator","","Near Mint","English","","","","","False","False",""
"1","1","Duskwatch Recruiter // Krallenhorde Howler","","Near Mint","English","","","","","False","False",""
"1","1","Fangblade Brigand // Fangblade Eviscerator","","Near Mint","English","","","","","False","False",""
"1","1","Geier Reach Bandit // Vildin-Pack Alpha","","Near Mint","English","","","","","False","False",""
"1","1","Hermit of the Natterknolls // Lone Wolf of the Natterknolls","","Near Mint","English","","","","","False","False",""
"1","1","Hound Tamer // Untamed Pup","","Near Mint","English","","","","","False","False",""
"1","1","Howlpack Piper // Wildsong Howler","","Near Mint","English","","","","","False","False",""
"1","1","Huntmaster of the Fells // Ravager of the Fells","","Near Mint","English","","","","","False","False",""
"1","1","Ill-Tempered Loner // Howlpack Avenger","","Near Mint","English","","","","","False","False",""
"1","1","Immerwolf","","Near Mint","English","","","","","False","False",""
"1","1","Instigator Gang // Wildblood Pack","","Near Mint","English","","","","","False","False",""
"1","1","Kessig Forgemaster // Flameheart Werewolf","","Near Mint","English","","","","","False","False",""
"1","1","Kessig Naturalist // Lord of the Ulvenwald","","Near Mint","English","","","","","False","False",""
"1","1","Kruin Outlaw // Terror of Kruin Pass","","Near Mint","English","","","","","False","False",""
"1","1","Mayor of Avabruck // Howlpack Alpha","","Near Mint","English","","","","","False","False",""
"1","1","Nightpack Ambusher","","Near Mint","English","","","","","False","False",""
"1","1","Outland Liberator // Frenzied Trapbreaker","","Near Mint","English","","","","","False","False",""
"1","1","Packsong Pup","","Near Mint","English","","","","","False","False",""
"1","1","Reckless Stormseeker // Storm-Charged Slasher","","Near Mint","English","","","","","False","False",""
"1","1","Runebound Wolf","","Near Mint","English","","","","","False","False",""
"1","1","Sage of Ancient Lore // Werewolf of Ancient Hunger","","Near Mint","English","","","","","False","False",""
"1","1","Scorned Villager // Moonscarred Werewolf","","Near Mint","English","","","","","False","False",""
"1","1","Silverfur Partisan","","Near Mint","English","","","","","False","False",""
"1","1","Tovolar's Huntmaster // Tovolar's Packleader","","Near Mint","English","","","","","False","False",""
"1","1","Village Messenger // Moonrise Intruder","","Near Mint","English","","","","","False","False",""
"1","1","Village Watch // Village Reavers","","Near Mint","English","","","","","False","False",""
"1","1","Volatile Arsonist // Dire-Strain Anarchist","","Near Mint","English","","","","","False","False",""
"1","1","Weaver of Blossoms // Blossom-Clad Werewolf","","Near Mint","English","","","","","False","False",""
"1","1","Werewolf Pack Leader","","Near Mint","English","","","","","False","False",""
"1","1","Wolfkin Outcast // Wedding Crasher","","Near Mint","English","","","","","False","False",""
"1","1","Abrade","","Near Mint","English","","","","","False","False",""
"1","1","Ancient Grudge","","Near Mint","English","","","","","False","False",""
"1","1","Bite Down","","Near Mint","English","","","","","False","False",""
"1","1","Chaos Warp","","Near Mint","English","","","","","False","False",""
"1","1","Decimate","","Near Mint","English","","","","","False","False",""
"1","1","Friendly Rivalry","","Near Mint","English","","","","","False","False",""
"1","1","Horrid Vigor","","Near Mint","English","","","","","False","False",""
"1","1","Into the Night","","Near Mint","English","","","","","False","False",""
"1","1","Moonlight Hunt","","Near Mint","English","","","","","False","False",""
"1","1","Moonmist","","Near Mint","English","","","","","False","False",""
"1","1","Rampant Growth","","Near Mint","English","","","","","False","False",""
"1","1","Ruinous Intrusion","","Near Mint","English","","","","","False","False",""
"1","1","Snakeskin Veil","","Near Mint","English","","","","","False","False",""
"1","1","Thrill of Possibility","","Near Mint","English","","","","","False","False",""
"1","1","Uncaged Fury","","Near Mint","English","","","","","False","False",""
"1","1","Unnatural Moonrise","","Near Mint","English","","","","","False","False",""
"1","1","Wolf Strike","","Near Mint","English","","","","","False","False",""
"1","1","Full Moon's Rise","","Near Mint","English","","","","","False","False",""
"1","1","Howlpack Resurgence","","Near Mint","English","","","","","False","False",""
"1","1","Ranger Class","","Near Mint","English","","","","","False","False",""
