"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abrade","2xm","Near Mint","English","","","2026-08-02 17:59:49.867000","114","False","False",""
"1","1","Abrade","soc","Near Mint","English","","","2026-05-03 23:10:23.627000","234","False","False",""
"1","1","Abstract Performance","soc","Near Mint","English","","","2026-05-03 23:10:23.627000","17","False","False",""
"1","1","Abundant Countryside","ecc","Near Mint","English","","","2026-08-02 17:58:36.490000","22","False","False",""
"1","1","Abundant Growth","ecc","Near Mint","English","","","2026-08-02 17:58:36.490000","97","False","False",""
"1","1","Academy Manufactor","blc","Near Mint","English","","","2026-05-03 23:10:57.657000","264","False","False",""
"1","1","Action News Crew","tmt","Near Mint","English","","","2026-05-14 23:46:10.743000","1","False","False","0.03"
"2","2","Action News Crew","tmt","Near Mint","English","","","2026-07-13 23:12:52.803000","1","False","False","0.02"
"1","1","Adamant Will","fdn","Near Mint","English","","","2026-05-03 23:09:59.423000","488","False","False",""
"1","1","Adarkar Wastes","eoc","Near Mint","English","","","2026-05-03 23:09:49.723000","147","False","False",""
"1","1","Additive Evolution","sos","Near Mint","English","","","2026-07-22 22:57:50.160000","139","False","False","0.07"
"1","1","Aether Gale","soc","Near Mint","English","","","2026-05-03 23:10:23.627000","186","False","False",""
"1","1","Aether Syphon","dft","Near Mint","English","","","2026-05-03 23:08:48.333000","38","False","False","0.12"
"1","1","Afflicted Deserter // Werewolf Ransacker","dka","Near Mint","English","","","2026-08-02 17:59:49.867000","81","False","False",""
"1","1","Aggressive Mammoth","fdn","Near Mint","English","","","2026-05-03 23:09:59.423000","551","False","False",""
"1","1","Aisha of Sparks and Smoke","slx","Near Mint","English","","","2026-05-27 15:24:38.060000","12","False","False","0.44"
"1","1","Ajani, Outland Chaperone","ecl","Near Mint","English","","","2026-05-30 18:24:46.773000","4","False","False","1.95"
"1","1","Ajani's Pridemate","fdn","Near Mint","English","","","2026-05-03 23:09:59.423000","135","False","False",""
"1","1","Alania, Divergent Storm","blb","Near Mint","English","","","2026-05-03 23:10:15.600000","204","False","False",""
"3","3","Alania's Pathmaker","blb","Near Mint","English","","","2026-05-03 23:10:15.600000","123","False","False",""
"1","1","Alania's Pathmaker","blb","Near Mint","English","","","2026-08-02 17:45:48.183000","123","False","False","0.07"
"1","1","Alibou, Ancient Witness","eoc","Near Mint","English","","","2026-05-03 23:09:49.723000","113","False","False",""
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2026-06-30 23:34:55.230000","234","False","False","0.20"
"1","1","Alpharael, Dreaming Acolyte","eoe","Near Mint","English","","","2026-06-05 12:15:46.160000","212","False","False","0.06"
"1","1","Amy Rose","sld","Near Mint","English","","","2026-05-03 23:10:41.487000","2083","False","False",""
"1","1","Ancestor Dragon","fdn","Near Mint","English","","","2026-05-03 23:09:59.423000","489","False","False",""
"1","1","Anchovy & Banana Pizza","tmt","Near Mint","English","","","2026-07-13 23:12:52.803000","57","False","False","0.08"
"1","1","Ancient Den","eoc","Near Mint","English","","","2026-05-03 23:09:49.723000","148","False","False",""
"1","1","Ancient Grudge","plst","Near Mint","English","","","2026-08-02 17:59:49.867000","MM3-88","False","False",""
"1","1","Ancient Ziggurat","ecc","Near Mint","English","","","2026-08-02 17:58:36.490000","144","False","False",""
